year,name,avg
2016,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",325.0
2015,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",325.0
2014,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",325.0
2013,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",325.0
2012,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",325.0
2011,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",375.0
2010,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",375.0
2009,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",375.0
2008,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",425.0
2007,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",475.0
2006,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",475.0
2005,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",525.0
2019,"Державне підприємство ""Шепетівський ремонтний завод""",475.0
2018,"Державне підприємство ""Шепетівський ремонтний завод""",525.0
2017,"Державне підприємство ""Шепетівський ремонтний завод""",525.0
2016,"Державне підприємство ""Шепетівський ремонтний завод""",575.0
2015,"Державне підприємство ""Шепетівський ремонтний завод""",525.0
2014,"Державне підприємство ""Шепетівський ремонтний завод""",325.0
2013,"Державне підприємство ""Шепетівський ремонтний завод""",325.0
2012,"Державне підприємство ""Шепетівський ремонтний завод""",375.0
2011,"Державне підприємство ""Шепетівський ремонтний завод""",475.0
2010,"Державне підприємство ""Шепетівський ремонтний завод""",475.0
2009,"Державне підприємство ""Шепетівський ремонтний завод""",425.0
2008,"Державне підприємство ""Шепетівський ремонтний завод""",425.0
2007,"Державне підприємство ""Шепетівський ремонтний завод""",375.0
2006,"Державне підприємство ""Шепетівський ремонтний завод""",325.0
2015,"Державне підприємство ""Ніжинський ремонтний завод інженерного озброєння""",72.5
2014,"Державне підприємство ""Ніжинський ремонтний завод інженерного озброєння""",87.5
2013,"Державне підприємство ""Ніжинський ремонтний завод інженерного озброєння""",125.0
2012,"Державне підприємство ""Ніжинський ремонтний завод інженерного озброєння""",125.0
2011,"Державне підприємство ""Ніжинський ремонтний завод інженерного озброєння""",175.0
2010,"Державне підприємство ""Ніжинський ремонтний завод інженерного озброєння""",175.0
2009,"Державне підприємство ""Ніжинський ремонтний завод інженерного озброєння""",225.0
2008,"Державне підприємство ""Ніжинський ремонтний завод інженерного озброєння""",275.0
2007,"Державне підприємство ""Ніжинський ремонтний завод інженерного озброєння""",325.0
2019,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",625.0
2018,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",625.0
2017,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",625.0
2016,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",625.0
2015,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",625.0
2014,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",625.0
2013,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",675.0
2012,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",675.0
2011,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",625.0
2010,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",625.0
2009,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",575.0
2008,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",525.0
2007,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",575.0
2006,"Державне підприємство ""Миколаївський авіаремонтний завод ""НАРП""",625.0
2019,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",975.0
2018,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",975.0
2017,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",925.0
2016,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",925.0
2015,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",925.0
2014,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",875.0
2013,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",875.0
2012,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",875.0
2011,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",925.0
2010,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",925.0
2009,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",925.0
2008,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",925.0
2007,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",975.0
2006,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",1250.0
2005,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",1250.0
2019,Державний науково-дослідний інститут хімічних продуктів,425.0
2018,Державний науково-дослідний інститут хімічних продуктів,425.0
2017,Державний науково-дослідний інститут хімічних продуктів,425.0
2016,Державний науково-дослідний інститут хімічних продуктів,375.0
2015,Державний науково-дослідний інститут хімічних продуктів,375.0
2014,Державний науково-дослідний інститут хімічних продуктів,375.0
2013,Державний науково-дослідний інститут хімічних продуктів,375.0
2012,Державний науково-дослідний інститут хімічних продуктів,375.0
2011,Державний науково-дослідний інститут хімічних продуктів,425.0
2010,Державний науково-дослідний інститут хімічних продуктів,425.0
2009,Державний науково-дослідний інститут хімічних продуктів,475.0
2008,Державний науково-дослідний інститут хімічних продуктів,475.0
2007,Державний науково-дослідний інститут хімічних продуктів,475.0
2006,Державний науково-дослідний інститут хімічних продуктів,475.0
2005,Державний науково-дослідний інститут хімічних продуктів,475.0
2019,"Тернопільське державне науково-технічне підприємство ""Промінь""",37.5
2018,"Тернопільське державне науково-технічне підприємство ""Промінь""",37.5
2015,"Тернопільське державне науково-технічне підприємство ""Промінь""",57.5
2014,"Тернопільське державне науково-технічне підприємство ""Промінь""",62.5
2013,"Тернопільське державне науково-технічне підприємство ""Промінь""",82.5
2012,"Тернопільське державне науково-технічне підприємство ""Промінь""",92.5
2011,"Тернопільське державне науково-технічне підприємство ""Промінь""",97.5
2010,"Тернопільське державне науково-технічне підприємство ""Промінь""",97.5
2009,"Тернопільське державне науково-технічне підприємство ""Промінь""",125.0
2008,"Тернопільське державне науково-технічне підприємство ""Промінь""",125.0
2007,"Тернопільське державне науково-технічне підприємство ""Промінь""",125.0
2006,"Тернопільське державне науково-технічне підприємство ""Промінь""",175.0
2005,"Тернопільське державне науково-технічне підприємство ""Промінь""",175.0
2019,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2018,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2017,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2016,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",125.0
2015,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2014,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2013,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2012,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2011,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2010,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2009,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2008,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2007,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2006,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2005,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",175.0
2019,"Державне підприємство ""Київський ремонтно- механічний завод""",775.0
2018,"Державне підприємство ""Київський ремонтно- механічний завод""",825.0
2017,"Державне підприємство ""Київський ремонтно- механічний завод""",925.0
2016,"Державне підприємство ""Київський ремонтно- механічний завод""",975.0
2015,"Державне підприємство ""Київський ремонтно- механічний завод""",975.0
2014,"Державне підприємство ""Київський ремонтно- механічний завод""",875.0
2013,"Державне підприємство ""Київський ремонтно- механічний завод""",925.0
2019,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",675.0
2018,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",675.0
2017,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",675.0
2016,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",725.0
2015,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",725.0
2014,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",725.0
2013,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",725.0
2012,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",725.0
2011,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",825.0
2010,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",825.0
2009,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",875.0
2008,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",875.0
2007,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",925.0
2006,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",975.0
2005,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",1250.0
2019,Державне підприємство “Антонов”,9250.0
2018,Державне підприємство “Антонов”,9750.0
2017,Державне підприємство “Антонов”,10500.0
2016,Державне підприємство “Антонов”,12500.0
2015,Державне підприємство “Антонов”,12500.0
2014,Державне підприємство “Антонов”,12500.0
2013,Державне підприємство “Антонов”,13500.0
2012,Державне підприємство “Антонов”,13500.0
2011,Державне підприємство “Антонов”,12500.0
2010,Державне підприємство “Антонов”,12500.0
2009,Державне підприємство “Антонов”,12500.0
2008,Державне підприємство “Антонов”,7250.0
2007,Державне підприємство “Антонов”,7250.0
2006,Державне підприємство “Антонов”,7250.0
2019,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",175.0
2018,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",175.0
2017,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",175.0
2016,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",175.0
2015,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",175.0
2014,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",175.0
2013,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",225.0
2012,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",225.0
2011,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",175.0
2010,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",175.0
2009,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",175.0
2008,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",175.0
2007,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",175.0
2006,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",175.0
2005,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",175.0
2019,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",57.5
2018,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",57.5
2017,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",57.5
2016,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",62.5
2015,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",62.5
2014,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",47.5
2013,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",37.5
2012,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",32.5
2011,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",32.5
2010,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",32.5
2009,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",42.5
2008,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",52.5
2007,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",77.5
2006,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",47.5
2005,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",62.5
2019,"Державне підприємство ""Красилівський агрегатний завод""",625.0
2018,"Державне підприємство ""Красилівський агрегатний завод""",675.0
2017,"Державне підприємство ""Красилівський агрегатний завод""",725.0
2016,"Державне підприємство ""Красилівський агрегатний завод""",725.0
2015,"Державне підприємство ""Красилівський агрегатний завод""",725.0
2014,"Державне підприємство ""Красилівський агрегатний завод""",625.0
2013,"Державне підприємство ""Красилівський агрегатний завод""",575.0
2012,"Державне підприємство ""Красилівський агрегатний завод""",575.0
2011,"Державне підприємство ""Красилівський агрегатний завод""",675.0
2010,"Державне підприємство ""Красилівський агрегатний завод""",675.0
2009,"Державне підприємство ""Красилівський агрегатний завод""",625.0
2008,"Державне підприємство ""Красилівський агрегатний завод""",775.0
2007,"Державне підприємство ""Красилівський агрегатний завод""",875.0
2006,"Державне підприємство ""Красилівський агрегатний завод""",1250.0
2005,"Державне підприємство ""Красилівський агрегатний завод""",1250.0
2019,"Державне виробничо-технічне підприємство ""Граніт""",125.0
2018,"Державне виробничо-технічне підприємство ""Граніт""",175.0
2017,"Державне виробничо-технічне підприємство ""Граніт""",175.0
2016,"Державне виробничо-технічне підприємство ""Граніт""",175.0
2015,"Державне виробничо-технічне підприємство ""Граніт""",125.0
2014,"Державне виробничо-технічне підприємство ""Граніт""",77.5
2013,"Державне виробничо-технічне підприємство ""Граніт""",77.5
2012,"Державне виробничо-технічне підприємство ""Граніт""",77.5
2011,"Державне виробничо-технічне підприємство ""Граніт""",72.5
2010,"Державне виробничо-технічне підприємство ""Граніт""",72.5
2009,"Державне виробничо-технічне підприємство ""Граніт""",82.5
2008,"Державне виробничо-технічне підприємство ""Граніт""",125.0
2007,"Державне виробничо-технічне підприємство ""Граніт""",125.0
2006,"Державне виробничо-технічне підприємство ""Граніт""",175.0
2005,"Державне виробничо-технічне підприємство ""Граніт""",175.0
2015,"Державне підприємство ""Тячівський завод ""Зеніт""",1.0
2012,"Державне підприємство ""Тячівський завод ""Зеніт""",7.5
2011,"Державне підприємство ""Тячівський завод ""Зеніт""",3.5
2019,"Казенне підприємство ""Радіовимірювач""",225.0
2018,"Казенне підприємство ""Радіовимірювач""",225.0
2017,"Казенне підприємство ""Радіовимірювач""",225.0
2016,"Казенне підприємство ""Радіовимірювач""",275.0
2015,"Казенне підприємство ""Радіовимірювач""",275.0
2014,"Казенне підприємство ""Радіовимірювач""",275.0
2013,"Казенне підприємство ""Радіовимірювач""",275.0
2012,"Казенне підприємство ""Радіовимірювач""",275.0
2011,"Казенне підприємство ""Радіовимірювач""",325.0
2010,"Казенне підприємство ""Радіовимірювач""",325.0
2009,"Казенне підприємство ""Радіовимірювач""",325.0
2008,"Казенне підприємство ""Радіовимірювач""",375.0
2007,"Казенне підприємство ""Радіовимірювач""",475.0
2006,"Казенне підприємство ""Радіовимірювач""",575.0
2005,"Казенне підприємство ""Радіовимірювач""",625.0
2019,"Державне підприємство ""Науково-дослідний інститут ""Квант""",475.0
2018,"Державне підприємство ""Науково-дослідний інститут ""Квант""",425.0
2017,"Державне підприємство ""Науково-дослідний інститут ""Квант""",425.0
2016,"Державне підприємство ""Науково-дослідний інститут ""Квант""",425.0
2015,"Державне підприємство ""Науково-дослідний інститут ""Квант""",475.0
2014,"Державне підприємство ""Науково-дослідний інститут ""Квант""",475.0
2013,"Державне підприємство ""Науково-дослідний інститут ""Квант""",525.0
2012,"Державне підприємство ""Науково-дослідний інститут ""Квант""",525.0
2011,"Державне підприємство ""Науково-дослідний інститут ""Квант""",625.0
2010,"Державне підприємство ""Науково-дослідний інститут ""Квант""",625.0
2009,"Державне підприємство ""Науково-дослідний інститут ""Квант""",675.0
2005,"Державне підприємство ""Науково-дослідний інститут ""Квант""",1.0
2019,"Рубіжнянський казенний хімічний завод ""Зоря""",47.5
2018,"Рубіжнянський казенний хімічний завод ""Зоря""",47.5
2017,"Рубіжнянський казенний хімічний завод ""Зоря""",42.5
2016,"Рубіжнянський казенний хімічний завод ""Зоря""",32.5
2015,"Рубіжнянський казенний хімічний завод ""Зоря""",17.5
2014,"Рубіжнянський казенний хімічний завод ""Зоря""",22.5
2013,"Рубіжнянський казенний хімічний завод ""Зоря""",42.5
2012,"Рубіжнянський казенний хімічний завод ""Зоря""",175.0
2011,"Рубіжнянський казенний хімічний завод ""Зоря""",325.0
2010,"Рубіжнянський казенний хімічний завод ""Зоря""",325.0
2009,"Рубіжнянський казенний хімічний завод ""Зоря""",325.0
2008,"Рубіжнянський казенний хімічний завод ""Зоря""",375.0
2007,"Рубіжнянський казенний хімічний завод ""Зоря""",2750.0
2006,"Рубіжнянський казенний хімічний завод ""Зоря""",3750.0
2005,"Рубіжнянський казенний хімічний завод ""Зоря""",3750.0
2019,Державне підприємство Український радіотехнічний інститут,12.5
2018,Державне підприємство Український радіотехнічний інститут,12.5
2017,Державне підприємство Український радіотехнічний інститут,12.5
2016,Державне підприємство Український радіотехнічний інститут,12.5
2015,Державне підприємство Український радіотехнічний інститут,12.5
2014,Державне підприємство Український радіотехнічний інститут,17.5
2013,Державне підприємство Український радіотехнічний інститут,17.5
2012,Державне підприємство Український радіотехнічний інститут,12.5
2011,Державне підприємство Український радіотехнічний інститут,32.5
2010,Державне підприємство Український радіотехнічний інститут,32.5
2009,Державне підприємство Український радіотехнічний інститут,37.5
2008,Державне підприємство Український радіотехнічний інститут,42.5
2007,Державне підприємство Український радіотехнічний інститут,52.5
2006,Державне підприємство Український радіотехнічний інститут,62.5
2005,Державне підприємство Український радіотехнічний інститут,72.5
2019,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",1250.0
2018,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",1250.0
2017,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",975.0
2016,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",925.0
2015,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",875.0
2014,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",875.0
2013,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",875.0
2012,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",825.0
2011,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",825.0
2010,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",825.0
2009,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",825.0
2008,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",775.0
2007,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",775.0
2006,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",825.0
2005,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",825.0
2015,Харківське державне авіаційне орденів Жовтневої революції та Трудового Червоного прапору виробниче підприємство,3250.0
2014,Харківське державне авіаційне орденів Жовтневої революції та Трудового Червоного прапору виробниче підприємство,3750.0
2013,Харківське державне авіаційне орденів Жовтневої революції та Трудового Червоного прапору виробниче підприємство,4250.0
2012,Харківське державне авіаційне орденів Жовтневої революції та Трудового Червоного прапору виробниче підприємство,4250.0
2019,"Центральне казенне конструкторське бюро ""Протон""",125.0
2018,"Центральне казенне конструкторське бюро ""Протон""",125.0
2017,"Центральне казенне конструкторське бюро ""Протон""",125.0
2016,"Центральне казенне конструкторське бюро ""Протон""",125.0
2015,"Центральне казенне конструкторське бюро ""Протон""",125.0
2014,"Центральне казенне конструкторське бюро ""Протон""",92.5
2013,"Центральне казенне конструкторське бюро ""Протон""",125.0
2012,"Центральне казенне конструкторське бюро ""Протон""",125.0
2011,"Центральне казенне конструкторське бюро ""Протон""",175.0
2010,"Центральне казенне конструкторське бюро ""Протон""",175.0
2009,"Центральне казенне конструкторське бюро ""Протон""",175.0
2008,"Центральне казенне конструкторське бюро ""Протон""",175.0
2007,"Центральне казенне конструкторське бюро ""Протон""",125.0
2006,"Центральне казенне конструкторське бюро ""Протон""",175.0
2005,"Центральне казенне конструкторське бюро ""Протон""",175.0
2017,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",3.5
2016,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",7.5
2015,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",12.5
2014,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",22.5
2013,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",37.5
2012,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",42.5
2011,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",67.5
2010,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",67.5
2009,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",72.5
2008,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",82.5
2007,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",82.5
2006,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",92.5
2005,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",77.5
2018,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",7.5
2017,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",7.5
2016,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",12.5
2015,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",22.5
2014,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",52.5
2013,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",57.5
2012,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",62.5
2011,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",77.5
2010,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",77.5
2009,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",82.5
2008,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",125.0
2007,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",97.5
2006,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",125.0
2005,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",97.5
2019,"Державне підприємство ""Харківський завод транспортного устаткування""",12.5
2016,"Державне підприємство ""Харківський завод транспортного устаткування""",125.0
2015,"Державне підприємство ""Харківський завод транспортного устаткування""",125.0
2014,"Державне підприємство ""Харківський завод транспортного устаткування""",175.0
2013,"Державне підприємство ""Харківський завод транспортного устаткування""",175.0
2012,"Державне підприємство ""Харківський завод транспортного устаткування""",175.0
2011,"Державне підприємство ""Харківський завод транспортного устаткування""",175.0
2010,"Державне підприємство ""Харківський завод транспортного устаткування""",175.0
2009,"Державне підприємство ""Харківський завод транспортного устаткування""",125.0
2008,"Державне підприємство ""Харківський завод транспортного устаткування""",125.0
2007,"Державне підприємство ""Харківський завод транспортного устаткування""",125.0
2006,"Державне підприємство ""Харківський завод транспортного устаткування""",225.0
2005,"Державне підприємство ""Харківський завод транспортного устаткування""",225.0
2019,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",1750.0
2018,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",1750.0
2017,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",1750.0
2016,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",2250.0
2015,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",2250.0
2014,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",2250.0
2013,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",2250.0
2012,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",2250.0
2011,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",2750.0
2010,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",2750.0
2009,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",2250.0
2008,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",2250.0
