year,name,arrears,salary,total
2001,"Казенне підприємство ""Радіовимірювач""",2450000.0,125000.0,2575000.0
2001,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",1050000.0,965000.0,2015000.0
2001,"Казенне підприємство ""Харківське конструкторське бюро з двигунобудування""",2850000.0,42500.0,2892500.0
2001,"Казенне підприємство ""Харківське конструкторське бюро з машинобудування імені О.О. Морозова""",8050000.0,285000.0,8335000.0
2001,"Казенне підприємство ""Шосткинський казенний завод ""Імпульс""",5850000.0,465000.0,6315000.0
2001,"Казенне підприємство Костянтинівське казенне науково-виробниче підприємство ""Кварсит""",1450000.0,125000.0,1575000.0
2001,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",305000.0,0.0,305000.0
2001,"Казенне підприємство Шосткинський казенний завод ""Зірка""",6450000.0,785000.0,7235000.0
2001,"Рубіжнянський казенний хімічний завод ""Зоря""",17500000.0,735000.0,18235000.0
2001,"Тернопільське державне науково-технічне підприємство ""Промінь""",1050000.0,950000.0,2000000.0
2001,Феодосійський казенний оптичний завод,2550000.0,445000.0,2995000.0
2001,Харківське державне авіаційне орденів Жовтневої революції та Трудового Червоного прапору виробниче підприємство,28500000.0,30500000.0,59000000.0
2001,"Херсонський державний завод ""Палада""",2950000.0,205000.0,3155000.0
2001,Хімічне казенне об'єднання імені Г.І. Петровського,4350000.0,1150000.0,5500000.0
2001,"Центральне казенне конструкторське бюро ""Протон""",355000.0,555000.0,910000.0
2002,"""Львівський державний завод ""ЛОРТА""",4650000.0,335000.0,4985000.0
2002,Ізюмський казенний приладобудівний завод,6050000.0,425000.0,6475000.0
2002,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",2750000.0,5000.0,2755000.0
2002,"Державна компанія з експорту та імпорту продукції і послуг військового та спеціального призначення ""Укрспецекспорт""",8150000.0,5000.0,8155000.0
2002,Державне Південне виробничо-технічне підприємство,315000.0,155000.0,470000.0
2002,"Державне виробничо-технічне підприємство ""Граніт""",2050000.0,125000.0,2175000.0
2002,"Державне виробничо-технічне підприємство ""Південавіапромналадка""",0.0,235000.0,235000.0
2002,"Державне госпрозрахункове зовнішньоторговельне підприємство ""Спецтехноекспорт""   ",1050000.0,0.0,1050000.0
2002,"Державне зовнішньоторговельне та інвестиційне підприємство ""Промоборонекспорт""",265000.0,0.0,265000.0
2002,"Державне науково-дослідне підприємство ""Конекс""",405000.0,12500.0,417500.0
2002,"Державне підприємство ""732 Вінницький ремонтний завод""",605000.0,47500.0,652500.0
2002,"Державне підприємство ""Виробниче об'єднання ""Карпати""",445000.0,455000.0,900000.0
2002,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",1250000.0,145000.0,1395000.0
